编号,价格,户型,面积,楼层,朝向,行政区,商圈,上线日期,地标名称,地标地址
shz4361853,10000元/月,3室 3厅,142平,高区/6层,暂无数据,杨浦,五角场,2017.12.15,文化花园清华苑,仁德路100弄
shz4358447,12000元/月,3室 2厅,149平,高区/7层,暂无数据,杨浦,五角场,2017.12.13,政通路118弄,政通路118弄（1-19号）
shz4349533,6500元/月,2室 1厅,54平,中区/6层,朝南,杨浦,五角场,2017.12.07,政通路311弄,政通路311弄
shz4369571,2900元/月,1室 1厅,32平,中区/7层,暂无数据,杨浦,五角场,2017.12.20,武川路222弄,武川路222弄
shz4373202,9500元/月,2室 1厅,92平,中区/7层,暂无数据,杨浦,五角场,2017.12.23,创智坊(公寓),伟德路10弄，大学路63弄，大学路88弄，大学路186弄，大学路187弄，大学路268弄，大学路277弄
shz4358716,6500元/月,2室 2厅,99平,高区/6层,暂无数据,杨浦,五角场,2017.12.13,政通新苑,政通路70弄
shz4346324,4800元/月,2室 1厅,76平,高区/6层,暂无数据,杨浦,五角场,2017.12.05,仁德路67弄,仁德路67弄
shz4345491,4350元/月,1室 1厅,53平,中区/6层,朝南北,杨浦,五角场,2017.12.04,政立小区,政立路711弄
shz4327119,4500元/月,2室 1厅,53平,低区/7层,朝南,杨浦,五角场,2017.11.23,三门路358弄,三门路358弄
shz4323866,4800元/月,2室 1厅,39平,低区/7层,朝南,杨浦,五角场,2017.11.21,三门路358弄,三门路358弄
shz4383039,4300元/月,2室 1厅,58平,高区/6层,暂无数据,杨浦,五角场,2017.12.29,同济欣苑,政立路810弄，政立路817弄，政立路825弄，国权北路8弄，政立路821弄
shz4401139,3900元/月,1室 1厅,36平,低区/6层,暂无数据,杨浦,五角场,2018.01.11,武川路222弄,武川路222弄
shz4399066,5000元/月,1室 0厅,36平,高区/6层,暂无数据,杨浦,五角场,2018.01.09,政民路230弄,政民路230弄
shz4398607,8500元/月,3室 2厅,117平,中区/7层,朝南,杨浦,五角场,2018.01.09,文化花园香榭丽苑,武川路75弄
shz4398431,3400元/月,1室 1厅,42平,中区/7层,暂无数据,杨浦,五角场,2018.01.09,三门路358弄,三门路358弄
shz4397265,8000元/月,2室 2厅,110平,高区/17层,暂无数据,杨浦,五角场,2018.01.08,乾阳佳园,三门路588弄
shz4396435,3500元/月,1室 1厅,40平,高区/7层,朝南,杨浦,五角场,2018.01.07,三门路358弄,三门路358弄
shz4394676,3600元/月,1室 1厅,37平,中区/6层,暂无数据,杨浦,五角场,2018.01.06,铁路新村(杨浦),国定路277弄
shz4392894,3800元/月,1室 1厅,38平,高区/6层,暂无数据,杨浦,五角场,2018.01.05,财大小区,政立路580弄
shz4392202,9500元/月,2室 2厅,86平,高区/8层,朝南,杨浦,五角场,2018.01.05,创智坊(公寓),伟德路10弄，大学路63弄，大学路88弄，大学路186弄，大学路187弄，大学路268弄，大学路277弄
shz4388357,5300元/月,3室 0厅,53平,中区/6层,朝南,杨浦,五角场,2018.01.02,四平路2100弄,四平路2100弄
shz4388118,5400元/月,1室 1厅,66平,中区/22层,暂无数据,杨浦,五角场,2018.01.02,协友公寓,政通路118弄21号
shz4385675,8000元/月,3室 2厅,125平,低区/10层,暂无数据,杨浦,五角场,2017.12.31,文化花园明珠苑,逸仙路655弄
shz4385513,3500元/月,1室 1厅,43平,低区/6层,暂无数据,杨浦,五角场,2017.12.31,三门路510弄,三门路510弄
shz4381727,5300元/月,2室 1厅,50平,中区/6层,暂无数据,杨浦,五角场,2017.12.29,政通路285弄,政通路285弄
shz4381515,3000元/月,1室 0厅,47平,低区/7层,暂无数据,杨浦,五角场,2017.12.29,政熙路68弄,政熙路68弄
shz4378431,8500元/月,3室 1厅,103平,低区/14层,朝南北,杨浦,五角场,2017.12.27,三湘世纪花城三期,学府街88弄，吉浦路99弄
shz4378032,3500元/月,1室 1厅,33平,高区/6层,朝南,杨浦,五角场,2017.12.26,铁路新村(杨浦),国定路277弄
shz4377074,7600元/月,2室 2厅,95平,中区/7层,朝南北,杨浦,五角场,2017.12.25,海鹏公寓,黄兴路2019弄
shz4374721,4800元/月,2室 1厅,63平,高区/6层,暂无数据,杨浦,五角场,2017.12.24,文化名园,吉浦路375弄
shz4374516,5200元/月,3室 1厅,41平,高区/7层,暂无数据,杨浦,五角场,2017.12.24,三门路358弄,三门路358弄
shz4374256,4100元/月,1室 0厅,29平,高区/6层,暂无数据,杨浦,五角场,2017.12.23,四平路2100弄,四平路2100弄
shz4372890,3700元/月,1室 1厅,36平,高区/6层,朝南,杨浦,五角场,2017.12.23,政民路230弄,政民路230弄
shz4371705,7000元/月,2室 2厅,96平,高区/10层,暂无数据,杨浦,五角场,2017.12.22,文化花园香榭丽苑,武川路75弄
shz4371339,4200元/月,1室 1厅,46平,高区/6层,暂无数据,杨浦,五角场,2017.12.22,北茶园,国顺路80弄
shz4371079,4000元/月,1室 1厅,29平,低区/6层,暂无数据,杨浦,五角场,2017.12.21,国顺路375弄,国顺路375弄
shz4368108,5400元/月,2室 1厅,50平,中区/6层,暂无数据,杨浦,五角场,2017.12.20,铁路新村(杨浦),国定路277弄
shz4367325,3700元/月,1室 0厅,29平,高区/6层,暂无数据,杨浦,五角场,2017.12.19,政通路285弄,政通路285弄
shz4366104,6300元/月,1室 1厅,46平,高区/6层,暂无数据,杨浦,五角场,2017.12.18,东方家园,国顺路128弄
shz4365792,4300元/月,2室 0厅,42平,高区/6层,朝南北,杨浦,五角场,2017.12.18,政修路29号,政修路29号
shz4364941,6200元/月,2室 1厅,84平,高区/6层,暂无数据,杨浦,五角场,2017.12.17,政立小区,政立路711弄
shz4363900,4000元/月,1室 1厅,32平,高区/6层,朝南,杨浦,五角场,2017.12.16,国顺路395弄,国顺路395弄
shz4363637,4300元/月,1室 1厅,52平,中区/6层,暂无数据,杨浦,五角场,2017.12.16,三门路510弄,三门路510弄
shz4362695,6500元/月,3室 1厅,79平,中区/6层,暂无数据,杨浦,五角场,2017.12.16,南茶园,国顺路81弄
